UF;Município;Bairro;Endereço;CNPJ;Razão Social;Atividades Aurorizadas;Data;DF;Resultados
;;AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP;;;;;;Atenção: Os agentes autuados possuem direito ao contraditório e à ampla defesa assegurado pela lei. Dessa forma, somente após o julgamento definitivo do processo administrativo, gerado a partir do auto de infração, será comprovado se o estabelecimento cometeu, ou não, ato infracional previsto na Lei nº 9.847, de 26 de outubro de 1999. ;
;;SUPERINTENDÊNCIA DE FISCALIZAÇÃO DO ABASTECIMENTO - SFI;;;;;;;
;;RELAÇÃO DE AGENTES ECONÔMICOS FISCALIZADOS;;;;;;;
;;PERÍODO: FEVEREIRO/2018 - 1.477 AÇÕES DE FISCALIZAÇÃO / 343 AUTUADOS;;;;;;;
;;;;;;;;;
UF;Município;Bairro;Endereço;CNPJ;Razão Social;Atividades Aurorizadas;Data;DF;Resultados
ACRE;RIO BRANCO;BOSQUE;AVENIDA GETULIO VARGAS, 1743;14.756.385/0001-26;AUTO POSTO GURGEL COMÉRCIO E DERIVADOS DE PETRÓLEO LTDA;POSTO REVENDEDOR;20/02/2018;527553; -  Verificado o cumprimento do objeto da notificação
ALAGOAS;ARAPIRACA;CENTRO;RUA MARECHAL DEODORO, 275;08.615.908/0001-11;AUTO POSTO BANANEIRA LTDA;POSTO REVENDEDOR;26/02/2018;498842; -  Verificado o cumprimento do objeto da notificação
ALAGOAS;ARAPIRACA;ELDORADO;RUA EXPEDICIONARIOS BRASILEIROS, 1061;12.419.768/0001-83;CIRIO ANTONIO DE SOUZA E CIA LTDA;POSTO REVENDEDOR;26/02/2018;498841; -  Verificado o cumprimento do objeto da notificação
ALAGOAS;ARAPIRACA;ALTO DO CRUZEIRO;RUA SAO JOAO, 581;12.451.076/0005-46;POSTO ARAPIRACA LTDA;POSTO REVENDEDOR;26/02/2018;529280; -  Verificado o cumprimento do objeto da notificação
ALAGOAS;BARRA DE SANTO ANTONIO;ZONA RURAL;RODOVIA AL 101, KM 32, SN;24.327.942/0001-47;AUTO POSTO ROSA MARIA LTDA.;POSTO REVENDEDOR;06/02/2018;486392;" -  Autuado por equipamento ausente ou em desacordo com a legislação
 -  Notificado para apresentação de documentos
 -  Aplicada Medida Reparadora de Conduta"
ALAGOAS;BARRA DE SANTO ANTONIO;CENTRO;RODOVIA AL 101 NORTE, S/N;05.310.563/0001-08;WALTSON DE OLIVEIRA ALMEIDA;POSTO REVENDEDOR;06/02/2018;486391;" -  Autuado por equipamento ausente ou em desacordo com a legislação
 -  Notificado para apresentação de documentos
 -  Aplicada Medida Reparadora de Conduta"
ALAGOAS;BARRA DE SAO MIGUEL;BARRA DE SAO MIGUEL;RUA PROJETADA MB, BARRA MAR, 27;05.875.523/0001-03;ALTO POSTO MARE ALTA LTDA;POSTO REVENDEDOR;04/02/2018;498795; -  Ação de fiscalização sem registro de ocorrência
ALAGOAS;BARRA DE SAO MIGUEL;BARRA MAR;RODOVIA AL 101 SUL KM 21QUADRA F 2, LOT BARRA MAR, S/N;07.754.145/0001-27;M L G DA SILVA SIQUEIRA ME;POSTO REVENDEDOR;04/02/2018;498794;" -  Produto conforme as especificações da ANP
 -  Produto coletado para análise em laboratório"
ALAGOAS;BARRA DE SAO MIGUEL;BARRA MAR;ROD AL 101, S/N;24.245.524/0002-91;POSTO LIBERAL LTDA;POSTO REVENDEDOR;04/02/2018;498793; -  Ação de fiscalização sem registro de ocorrência
ALAGOAS;CACIMBINHAS;ZONA RURAL;BR 316, S/N;05.560.272/0001-60;MAA VITORINO DIESEL;POSTO REVENDEDOR;15/02/2018;519125; -  Autuado por Amostra Prova de Óleo Diesel S 10 Reprovada - ponto de fulgor mínimo
ALAGOAS;CACIMBINHAS;CENTRO;RUA SARGENTO BENEVIDES, 262;16.629.332/0001-70;MARINUZA LEITE DA SILVA;POSTO REVENDEDOR;15/02/2018;525476; -  Verificado o cumprimento do objeto da notificação
ALAGOAS;CARNEIROS;CENTRO;RUA TIRADENTES, 210;00.994.685/0001-39;OSMAR LIMEIRA MELO;POSTO REVENDEDOR;15/02/2018;519124; -  Autuado por Amostra prova de Óleo Diesel S 500 Reprovada - ponto de fulgor mínimo
